Feature,Embed_Type,R2_Mean,R2_Median,R2_Std,R2_95%_CI_Lower,R2_95%_CI_Upper,MSE_Mean,MSE_Median,MSE_Std,MSE_95%_CI_Lower,MSE_95%_CI_Upper,Intercept,Coefficients
z_x,orig,0.4119395883266808,0.411994452826694,0.003531263088535432,0.40512419245100506,0.4187690588704961,0.0016538477881956534,0.0016535982989762535,1.485085066896075e-05,0.0016257347686251147,0.0016819785968563382,0.08098828195265259,"[0.052131630195669264, 0.007858046974575527, -0.013832605023679993, 0.07138839040825878, 0.013923449541429081, 0.06406502804004109, 0.10687751610445764, -0.010659689107241913, 0.07857427142359397, 0.11427933358631563]"
z_x,cond,0.007840639952870952,0.00785042909218081,0.0008601914545140163,0.006126110368708471,0.009538723996612047,0.002789492461354686,0.002789787355582418,2.110428692794092e-05,0.002747005405669354,0.0028297684405049115,0.1088893541979749,"[0.0005965987006173567, -0.0010730128703339884, -0.0001494449920894335, -0.0021061835168027635, 0.0003792311281145413, -0.0003204632306563624, -0.00012261460139614713, -0.002379037669214006, 0.00290770038541686, 0.0006397693069372974]"
z_x,uncond,0.409608002275975,0.40972002294588367,0.0036955707032860223,0.40270118526987114,0.4170478532118361,0.0016599524751371086,0.001660714740868239,1.3826332511223065e-05,0.0016325130051427967,0.0016863740202069629,0.10854737757456995,"[0.013574348863769585, -0.00551976775551281, 0.005729071479266986, 0.00832161448855327, -0.006690657668167173, -0.0019551044968707776, 0.019214879551132123, 0.001717750947968721, 0.01928984683995333, 0.012839581784985196]"
z_x,cond+z,1.0,1.0,0.0,1.0,1.0,4.519176729812849e-33,4.520164692891936e-33,3.190101713897163e-35,4.456118722924837e-33,4.579267927047776e-33,0.10910924894748811,"[-5.891199634378872e-18, 1.734723475976807e-17, -3.729655473350135e-17, 3.838075690598686e-17, 2.7538735181131813e-17, -1.5178830414797062e-17, -4.336808689942018e-18, 3.903127820947816e-18, 1.474514954580286e-17, 5.421010862427522e-18, 0.05326311113777328]"
h_alpha_flux,orig,0.7343392629013369,0.7344049396578654,0.004342513693649013,0.7256423097800296,0.7423840621406581,0.12609799753400958,0.1260211437943384,0.0028688518101043147,0.12072637867820551,0.13168938241014358,1.696177213819319,"[-0.3848925697621887, 0.06589455514639586, 0.9805608910410482, -0.3804538272773401, 0.29245363490837817, 0.3421552688228437, -0.4014483282486604, 1.0945925978697024, -0.4542964136274301, 0.6585889093878077]"
h_alpha_flux,cond,0.6409138144387362,0.6409999521203787,0.0043456125913242825,0.6326716431860631,0.6493241705037729,0.17039917708600447,0.1703686543774004,0.0030088434547193227,0.16476669600341384,0.17635668248767333,1.6657489285120852,"[-0.21607209938392494, 0.043253679571716136, 0.11421349106495762, -0.07097722256000534, 0.13612562498527617, 0.20667813460992635, -0.0717847791156485, 0.3665204553935129, -0.05809078148014893, 0.2190015386872014]"
h_alpha_flux,uncond,0.7147511162079089,0.7148775219989043,0.004517114567719298,0.7049040976992464,0.7229483239483661,0.1353785438863227,0.13524996249771154,0.0028901723171967536,0.13027631513869517,0.14177612123058192,1.6182216844874064,"[-0.271672935736883, 0.06297222397698432, 0.10606671409829956, -0.1091928570474274, 0.17558611518287365, 0.22332282470692977, -0.14584517612553813, 0.354273211181633, -0.1218057245148712, 0.1804054153668259]"
h_alpha_flux,cond+z,0.7530900740038733,0.7533113109072497,0.004734313111956313,0.7422570083174692,0.7616189975847348,0.117200103501851,0.11707274386102853,0.002901224909548099,0.1119383591219019,0.12361074476511483,1.6657745112274285,"[-0.2156841117023698, 0.04096715877229254, 0.11368943290157875, -0.08074980445987942, 0.13796050708938465, 0.20789478920200927, -0.07279505410114853, 0.3623301573567254, -0.0461792599365509, 0.2216129984472514, -0.2297957051403497]"
velDisp,orig,0.6507849235000588,0.651101611507432,0.014906780181196472,0.6220269385872436,0.6785247723505643,1753.2456606953904,1748.4207633041922,102.66776482656975,1570.6168366668908,1961.4111999606191,153.8367376270651,"[-74.4760205460785, -43.341064761682304, 83.49223918135863, 109.89000207442147, 21.72633853835397, 10.798899963909946, 83.40899132695948, -52.41045637885718, 169.66955453050957, 6.123090867285779]"
velDisp,cond,0.4044326764211638,0.40450614037807553,0.008724109207637212,0.38731899058762387,0.42171352945011137,2984.0775164742954,2984.839775274442,86.45764832094238,2825.2232873977346,3155.8301933373577,132.383876444416,"[8.299010484787662, -4.636888178107562, 16.27680432188526, 3.7678517312659148, -9.098416740650412, -13.40638741145117, 13.836773660422308, -13.317359621621268, 30.33970872413054, 0.12093426608765301]"
velDisp,uncond,0.6672854363946655,0.6675559042701578,0.013864992880603942,0.6406574474333988,0.6938536073593283,1667.9870716516314,1665.573788834627,94.27220422140881,1487.64280546801,1850.056554158825,137.21749412178545,"[15.496919779031264, -7.602302894129757, 20.21952573417792, 7.874551807784653, -14.419961273594307, -17.319130999252295, 22.70525792953596, -11.341325092970983, 39.35443463372011, 4.221482415559322]"
velDisp,cond+z,0.6882463292966526,0.6886087195064433,0.014288666087005525,0.6599298632632354,0.7143564288155494,1563.7754350687294,1560.2437887092817,96.36971539471357,1382.6965115623527,1764.071731481882,132.54221470837257,"[7.869421316589621, -3.864250379943403, 16.38441426098943, 5.284438381755545, -9.371487373745897, -13.175633417932158, 13.925064004615484, -11.604300554660698, 28.245978736707247, -0.3397404958946171, 38.352841844339515]"
d4000,orig,0.9142438594599474,0.9143619193663081,0.0025590570674715626,0.9088257167601648,0.9190104372346738,0.00713034471455016,0.007118295695231783,0.00023115332669354933,0.006703006358295935,0.007620530847181788,1.8465730968763352,"[0.22328323165397812, -0.18293304759928652, 0.06428532645493504, 0.2882266835803937, 0.1621293123705167, -0.31461557479371455, 0.028769844226399582, -0.13978098676134676, 0.3959012560894978, -0.33042993655089725]"
d4000,cond,0.6967251299591617,0.6967086382119255,0.0031280394097966324,0.6904737162443734,0.7029612468763703,0.025218271084133454,0.025223981847684783,0.00031341670705628836,0.024617866498849485,0.025841044505845682,1.7638196471627416,"[0.12556473300342155, -0.038182315636905384, 0.019882591812555857, 0.029725473482465046, -0.05860643905722229, -0.09707377417090483, 0.0484788258130133, -0.07529374716215526, 0.11771676987018084, -0.06308777619359016]"
d4000,uncond,0.8045256731205865,0.8046253955308411,0.0028194073504784574,0.7985760693295071,0.8095946524369574,0.016255331279485176,0.016243515712788294,0.0002700735418808706,0.015765642114642105,0.016827100770689205,1.7946677694347406,"[0.14257559118609, -0.04596977805153416, 0.02642131071994031, 0.030463827558473645, -0.07620196982287197, -0.11708105522871204, 0.061119158126269904, -0.07063190178645402, 0.13846113976098712, -0.06116468888425666]"
d4000,cond+z,0.802282608565902,0.8023947209142523,0.002686663874255439,0.7967256619808694,0.8070747862313261,0.01643875370889726,0.016417513570003338,0.000259310662698526,0.01597750206427678,0.01696814783676139,1.7642092240788976,"[0.12450776787586061, -0.0362813105153829, 0.020147356293208782, 0.03345689718017137, -0.05927830454618145, -0.09650602492988443, 0.04869605618524084, -0.07107892092986343, 0.11256533741549889, -0.06422122460106554, 0.094363683661695]"
extinction_r,orig,0.12110416263573995,0.12111939208192513,0.003992149243279613,0.11330175203113815,0.12881739420697136,0.0028252032249183002,0.002822874834683137,4.879645275741874e-05,0.0027314274175764775,0.002925085558329765,0.0762213436547116,"[0.00933343922481263, 0.004692303433982704, -0.12527323427393955, -0.0075223062611759605, -0.04567571285915239, 0.020828597345000685, 0.0007640962755170856, 0.03073412687878696, 0.045115493633508634, 0.008181682036615788]"
extinction_r,cond,0.14579298597564902,0.14572653202234392,0.003368545478322007,0.13922410065127752,0.15278771795472998,0.0027463435598760323,0.0027443835511078143,4.9839486990109854e-05,0.0026435362517840118,0.0028382934545469855,0.08836755051174025,"[0.002579385210649771, -0.0006626214781176227, -0.011127606957122815, -0.0018312467582937328, -0.011316159369071117, -0.006913211681886438, -0.0012634740019983235, 0.011543085453349654, 0.007574814656964695, 0.003024488855374217]"
extinction_r,uncond,0.13396086006217142,0.1339691781396274,0.003350374069758722,0.12727585058843363,0.14016608036666936,0.0027843217689793136,0.0027816759047511993,4.969461750005567e-05,0.002690373119479627,0.0028849340438396576,0.09044824307789065,"[0.00303621848957135, -0.0007749241676926494, -0.010710828897407472, -0.00290325069529057, -0.01201481746324693, -0.00784749312243177, -0.0017889256957275713, 0.011017685506593874, 0.007588005923623396, 0.001764691028456685]"
extinction_r,cond+z,0.14628442494246946,0.146253015660958,0.00325380223179979,0.1403405323670382,0.15260133440303106,0.002743453194727987,0.0027438678229748025,4.881103139349211e-05,0.002650035857859028,0.0028394152736759826,0.08836286917902182,"[0.0025920861824699566, -0.0006854648168890696, -0.011130788487071228, -0.0018760852359293117, -0.01130808592897388, -0.006920034013979624, -0.001266084340565042, 0.011492438191857834, 0.007636716603144788, 0.0030381088849358276, -0.0011339167733960321]"
petroR50_r,orig,0.11888828925845972,0.11932106844220847,0.0075950986011406015,0.10320187397995124,0.1320064302904309,1.4630796421607433,1.4472026572164762,0.15488526797014038,1.2594872064845075,1.816144980553075,2.744878037869662,"[-0.9231117593425276, -0.618573245718601, -0.759682165787763, -1.7298264403905375, -0.8226093478671578, -0.4484417018020033, -1.2834044836371294, -0.029624012243176734, -0.5839610811840111, -0.9743439523913613]"
petroR50_r,cond,0.03483143108964186,0.03480203293977535,0.0026318934064482667,0.029927595535754924,0.04004141842151938,1.5996214628893304,1.5833851273074964,0.16456636999303553,1.3950123524727198,1.9639619605576895,2.572798909545932,"[-0.05817900231360877, -0.06743411470662569, 0.0069005417446890704, -0.11267830777873228, -0.03317143536773321, -0.08904483953217579, -0.1131739061144729, 0.10393692662668419, 0.0009998781842872895, 0.08011155469941587]"
petroR50_r,uncond,0.09105486572334931,0.09134579578640373,0.00580346126595456,0.07924558581732316,0.10075288183033698,1.5101813972305944,1.4918379261585804,0.15850761790515458,1.3057333154232147,1.854382718074608,2.5644221801205,"[-0.16617841310079276, -0.03958801499611195, -0.061995598350984636, -0.16956251255225166, 0.035333921110644595, -0.07511834117442863, -0.2610727344958122, 0.06346424074736977, -0.12545619693470342, -0.01084011940628142]"
petroR50_r,cond+z,0.11988182905227009,0.12020973563380727,0.008644608367351814,0.1026980812633773,0.13404771464197168,1.4625564269966462,1.4472397685244678,0.1554022410521162,1.2618764368824005,1.803332287040444,2.5712291721841174,"[-0.0539201317746701, -0.0750939082942398, 0.005833715964909416, -0.12771347785206238, -0.030464261722694813, -0.091332493545574, -0.11404920086953922, 0.08695396399207478, 0.02175674455811317, 0.08467860228133818, -0.3802232465510746]"
petroR90_r,orig,0.053236684656082035,0.05343797657947852,0.0031516401152246088,0.046668975145357595,0.058689406080756464,9.654745564038892,9.590242970613081,0.5289797727752782,8.846486938563487,10.894491976600278,7.570826449186789,"[-3.183591379800899, -1.6342808513598939, -0.30911920381638824, -2.069566887669529, -1.506853903737285, -1.9617643975996046, -2.9509343313044805, -0.4001983813503799, 0.46419831223962604, -3.237049744004416]"
petroR90_r,cond,0.054315252624585635,0.054598619817513294,0.003485009734185025,0.0471607075209028,0.06116239468125798,9.64277948995574,9.587881725503289,0.5335755099437982,8.778572268129123,10.835999279080388,6.562593715402763,"[0.06544042508327728, -0.16127791165555055, 0.25427123786584294, -0.13789832922102363, -0.25723193705322434, -0.4413403707096838, -0.02451917450851794, 0.06564260130773239, 0.4580013608161152, 0.14446100205674223]"
petroR90_r,uncond,0.05305592965668548,0.05310108416149184,0.002818885429944733,0.04787268446460876,0.05844793138210715,9.59844380676963,9.53594228236674,0.4908929034693125,8.838229626160324,10.714520065643145,6.634798928328362,"[-0.18369809391825112, -0.1165225913137366, 0.10167979430461788, -0.30871573593255, -0.11489673299212674, -0.47888272438223883, -0.40901585017362213, -0.023542073252765812, 0.17045679947911363, -0.10572794271384366]"
petroR90_r,cond+z,0.10741381062910796,0.10753100954911804,0.005423588036604116,0.09601754348362479,0.11779403716956738,9.079989373692795,8.99876938545476,0.5105669870635879,8.254600986094836,10.251132941872848,6.559525183702127,"[0.07376568991772897, -0.17625132059368845, 0.2521858006430671, -0.1672891668966594, -0.251939938308081, -0.44581229004534006, -0.026230205773147344, 0.03244420743451685, 0.498577003610481, 0.15338869316249712, -0.7432626079640143]"
nii_6584_flux,orig,0.6276867754342068,0.6277620843821702,0.003875401973707805,0.6198827301861687,0.634926821661317,0.13741663951810318,0.137339806447814,0.002451675466442098,0.13265551229732198,0.14252050643963327,1.4638300529501147,"[0.04330996875635238, 0.1483031072259342, 1.399243987109529, -0.5854523396480807, 0.5031192452779061, 0.2524657890415539, -0.22261525272452326, 1.092893502725852, -0.42298497775124744, 0.5117179043768918]"
nii_6584_flux,cond,0.6252748699422468,0.6253859291195734,0.004181270020035452,0.6175899702648324,0.6331925830996453,0.1383136864068142,0.13834600816904047,0.002440762967502067,0.1336246110498661,0.14311287938059655,1.3893685583966426,"[-0.13055811140343426, 0.05518246652344698, 0.16714192167247086, -0.08276037066601388, 0.11185982598997836, 0.17304085435968108, -0.03138479545484152, 0.3492036421994051, 0.0015086045160179334, 0.1805437913675418]"
nii_6584_flux,uncond,0.6586886469018502,0.6588321660087457,0.004081971833067383,0.6506229307477137,0.6664944437222915,0.1260304784237111,0.1260463122171961,0.002365556322562471,0.12176634185548826,0.1307899523870501,1.356320126238666,"[-0.16925817783509442, 0.06845651433478876, 0.1684771256807438, -0.1156971857192233, 0.13697527296009404, 0.173749165253135, -0.08843043428513646, 0.3426041433732504, -0.039782337362872316, 0.1499652284007889]"
nii_6584_flux,cond+z,0.6799305660018532,0.680075001609173,0.004154746592832862,0.6710193848667485,0.6873543862639084,0.11817681269654716,0.11804006197731587,0.0023200553342538548,0.11424282262560966,0.12317227752778094,1.3894422538072841,"[-0.12960289208953085, 0.053646810978552215, 0.16648998918984115, -0.08863010099032224, 0.11268995606519057, 0.17299396357985553, -0.03140369959731784, 0.34538418072257165, 0.008862112735208448, 0.18177439843124527, -0.14321670886923593]"
oiii_5007_flux,orig,0.5152380275099862,0.5153787642088961,0.004217121286711388,0.5065126204540018,0.5231790809421367,0.12964765795853292,0.1297099026798298,0.0019107406952031862,0.12596540750417407,0.13344362702591,1.2966082586474919,"[-0.3600193091247398, 0.3546155349520033, 1.121286066704865, 0.22493890621864954, 0.0969706927161019, 0.757612931807709, -0.36430594474542255, 0.8719252484401534, 0.08621464900413023, -0.9332786606481118]"
oiii_5007_flux,cond,0.38967865546189634,0.38960060299566485,0.003925765589139413,0.38235185488739,0.39759521922992647,0.16325163213507643,0.16328060002884948,0.0019096009357293575,0.15954701764761509,0.16714083139399336,1.0192011871564277,"[-0.06774507210328796, 0.0698735109139556, 0.13567767177308981, 0.02918310338336553, 0.0747102026424873, 0.176555831227215, -0.0024980917294184363, 0.21341170045827731, 0.024078773755898814, -0.0032908097103485114]"
oiii_5007_flux,uncond,0.42646623507127623,0.42648674111207535,0.0038750452763801277,0.4187872610590442,0.43403981191962726,0.1534067981886293,0.1534511108535776,0.0018349204871098818,0.14996736307848,0.157034794339824,1.0014675833818945,"[-0.11980996055140684, 0.08281518221456306, 0.12406469747817024, -0.005820461387258125, 0.10551395978309144, 0.18630795362201807, -0.07516425684834938, 0.19892384642040878, -0.03781027887501693, -0.05072390280496542]"
oiii_5007_flux,cond+z,0.5094325951468707,0.5093993217330024,0.003884047005503787,0.501763348501031,0.517060036200047,0.13123300264710336,0.1312080528032336,0.0016521036897210544,0.12825351848387884,0.13459143164244966,1.0191282946294862,"[-0.06604263393762012, 0.0675132176731197, 0.13536009884459818, 0.02201308600566583, 0.075995134286484, 0.1767868648720882, -0.002549098632361524, 0.20740315089878003, 0.03346176025036435, -0.0018398327389408456, -0.17869051185192417]"
h_beta_flux,orig,0.6633440857826854,0.663410507004931,0.0035308767800524637,0.6562687193897039,0.6701481307087498,0.1191614401319459,0.11913650336971407,0.001960721497511096,0.1153304430299364,0.12306890883154138,1.2106521339128216,"[-0.6490108770190839, -0.18226774575122656, 0.9661533917499743, 0.013509532358895595, 0.4186005576050953, 0.20861794044196885, -0.6616309025420404, 0.7075066369147531, -0.0879223694785688, 0.4898572191129859]"
h_beta_flux,cond,0.515642376593153,0.5156920876190156,0.0037694302401932445,0.5083886944914099,0.5227450274228362,0.17149636875846028,0.1714470924191669,0.002156908114691119,0.16750167305518288,0.17596272730777238,1.128827445181847,"[-0.20007126659610497, 0.007968161915602928, 0.10079327617158937, -0.02925905496687323, 0.13628266784866988, 0.1738258012642659, -0.0749860261817337, 0.24640042590653266, -0.040251100851690605, 0.17730189538800883]"
h_beta_flux,uncond,0.5954488589086544,0.5955285378806017,0.0036026726962458725,0.588296489591295,0.6024482365609767,0.1432375468798303,0.14316307423099706,0.0019073001749664866,0.13961929954346414,0.1470314586688766,1.083961059699543,"[-0.25608443294115574, 0.024160320210558528, 0.09223124706887716, -0.06446673831920309, 0.17501129246338298, 0.19008775484774418, -0.14623414075552643, 0.23705588259159788, -0.09929106239909066, 0.14304356207989766]"
h_beta_flux,cond+z,0.639598976330967,0.6397117543281838,0.0034795883574318546,0.6330675554901506,0.6466006066326623,0.12758458938726924,0.1275747629805658,0.001839008115243249,0.12415424640868171,0.13127728968534946,1.1288511010716462,"[-0.2018640797198292, 0.004818184914046231, 0.10051793387101048, -0.03838674150264808, 0.1383843054754982, 0.17504459721574928, -0.0770790135749955, 0.24375759917335255, -0.028372695123911024, 0.18075802913616662, -0.21019615204192446]"
h_delta_flux,orig,0.41834786160700016,0.41838479191496153,0.004605167614828298,0.4094325734604858,0.4277558611287438,0.16500152268894486,0.1649567317996872,0.0025618022582822825,0.1601919028662878,0.17004673096722284,0.7294681958250026,"[-0.7316307360039999, -0.2973274384170631, 0.7200041447986029, 0.2220598823699139, 0.6532312098889391, -0.06345016877299296, -0.67425242540271, 0.3309979479768944, 0.21768575931203482, 0.25866017514527856]"
h_delta_flux,cond,0.2823276948803739,0.28226646871129224,0.004361741583374525,0.2740299289264958,0.29086989390063245,0.20374490806047466,0.20379922291157276,0.0027675655805976655,0.19841072823895586,0.20942837816412477,0.6273484989948239,"[-0.14958952185191357, -0.0021785098076954473, 0.0775490998383201, -0.004903415196485126, 0.12407745302438558, 0.11167777492780824, -0.05386741670146899, 0.12452273504585519, -0.029646062970548788, 0.1260858049972059]"
h_delta_flux,uncond,0.34497703504913946,0.34512472210841727,0.004570679105545736,0.33564618475645425,0.3532368718991126,0.18583990805668918,0.18566211018575987,0.0026561140048437988,0.18068634243950402,0.19109988789580795,0.5820972588006281,"[-0.20044756620256818, 0.009369345555686331, 0.06307340740976725, -0.03337443426056748, 0.1584094993534279, 0.1231006309856853, -0.11706517451092391, 0.12074312417532175, -0.07868039704488244, 0.10003390621539514]"
h_delta_flux,cond+z,0.3797474166889771,0.379701355422556,0.004762157177616481,0.3705568664110682,0.3888548167572157,0.17609359851162845,0.1761326451216899,0.0026892924328713133,0.17113660705656597,0.18125991771058306,0.6272072495621956,"[-0.15210302659836647, -0.0017832775380353383, 0.07621593133787832, -0.014005080116070007, 0.12805704983581384, 0.11167098221226006, -0.05645632830770403, 0.12127391234898473, -0.02125327963141191, 0.13051346692166216, -0.16847559172539392]"
lgm_tot_p50,orig,0.7760520798014934,0.7760721540084196,0.0029298842736095237,0.7700279019779779,0.78143563110556,0.07695914135858416,0.07694585538996779,0.0009897831852908958,0.07511624424800897,0.07890579656386541,10.528216321761102,"[0.4278629018918945, -0.05372546753624319, 0.7516906218975621, 0.27718233860839586, 0.3574288644732663, -0.06158828110109199, 0.511802746600905, -0.21896043461474954, 1.0020064002855162, 0.9791003927549984]"
lgm_tot_p50,cond,0.2601908831177905,0.26025013259374347,0.0032921635048494815,0.2535299443035535,0.26652796133529516,0.25425560855811324,0.2543326744748437,0.0021585174940969604,0.2499877838314197,0.25832570512555514,10.588475178378522,"[0.08970494119279594, -0.01755290018115078, 0.10158471554986351, -0.05176666836706634, -0.07231961667881232, -0.11849367714878338, 0.0630817661171979, -0.03388087469047951, 0.2050567393440311, 0.04690367917644567]"
lgm_tot_p50,uncond,0.6864041313279671,0.6864438328041078,0.002723829918567186,0.6809431862941623,0.6916913197645939,0.10780087885603439,0.10773218129839957,0.0011133381375127594,0.10579297083450247,0.10990805803636362,10.618628414667228,"[0.18639006283733023, -0.049884065411655215, 0.16341379461264524, -0.00452585818061468, -0.13132194156004673, -0.16367090663014905, 0.1838142149298968, -0.0021739481954363565, 0.33117991745522907, 0.12444800321357251]"
lgm_tot_p50,cond+z,0.764263767926048,0.7642903801153428,0.0019489741039807548,0.7603953716426767,0.7680796385405448,0.0810025636341563,0.08097838561142563,0.0009765692597337465,0.07920534059681623,0.08301901366097622,10.590026270256052,"[0.08457569480533372, -0.009132430416043544, 0.10348043385805314, -0.03487140916586479, -0.07534009627154725, -0.11602484534903346, 0.06422238537352795, -0.016098506035754124, 0.18276959119096264, 0.042630402796086334, 0.41872550047860685]"
sfr_tot_p50,orig,0.6407205005679532,0.6407429196030262,0.0028097562604694143,0.6347860216376138,0.6459385155969072,0.21587385849987237,0.21587194287949055,0.0017536753016261497,0.2124207898975084,0.2194125894351905,-0.8556815721212913,"[0.26769172406518477, 0.42074594091128437, 0.1532367437529238, -0.3665531511369593, 0.1447110212335787, 0.7537385253033396, 0.38119597485646417, 0.705371100142892, -0.32529038456612624, 2.3912110414938055]"
sfr_tot_p50,cond,0.5867920104097107,0.5866365726372125,0.0029503150105886894,0.5813673441156323,0.5924432723118078,0.24819029113461638,0.2481668132240936,0.0018300629132822516,0.24476100843928522,0.2517185334085509,-0.4133713769538246,"[-0.26908367502901087, 0.0506065498093555, -0.0010072055359057058, -0.1266566856923903, 0.14127213856438225, 0.1886784676260809, -0.1115691014521899, 0.3034800670197986, -0.15974216068752148, 0.28203983849632663]"
sfr_tot_p50,uncond,0.563331045861796,0.5633154355992123,0.0030015882460547243,0.5576303103861324,0.5693002457678998,0.26230744764174013,0.2622922052707181,0.001869412829513901,0.2586180669099645,0.26580606633002823,-0.4757785417374071,"[-0.2203851822007596, 0.039412871806520346, 0.04438152379765656, -0.0849502709037702, 0.13289525132498062, 0.1996874078747979, -0.029372649248187343, 0.32161511843911667, -0.09368238692638488, 0.3541565381163514]"
sfr_tot_p50,cond+z,0.6135404955177793,0.6135983101390452,0.0030431257172526915,0.6075541924042551,0.6192679449900909,0.23226942563371109,0.23223303828246697,0.0017204306658506576,0.2288789901186383,0.23563995394395695,-0.41290791720890085,"[-0.270703446006561, 0.053156984694692815, -0.00041359479806685195, -0.12152581162885379, 0.14049568148697555, 0.18949461922133404, -0.11125953969915713, 0.3089482649643531, -0.166537970405441, 0.2807323658199864, 0.1274770677563773]"
